SCCS_Limitation,Culture,PBM_Type,Citation
Exclusion of World Sampling Provinces,Tasmanians,Scarification,"lesueur1824,roth1899,brown1991"
Exclusion of World Sampling Provinces,Ancient Egyptians,Genital Modification,"smith1912,harris1980,morimoto1989,saleem2021,gruenbaum2026"
Exclusion of World Sampling Provinces,Ancient Egyptians,Scarification,roehrig2015
Exclusion of World Sampling Provinces,Ancient Egyptians,Tattooing,"roehrig2015,friedman2018"
Exclusion of World Sampling Provinces,Ancient Egyptians,Piercing,"smith1912,derry1927,winlock1942,bianucci2015,hawass2016"
Large-Scale Society Underrepresentation ,Global Prevalence,Genital Modification,morris2016
Large-Scale Society Underrepresentation ,Western Countries,Tattooing,"laumann2006,stirn2006,kluger2015,schaefer2023,palese2025"
Large-Scale Society Underrepresentation ,Western Countries,Piercing,"nielsen1993,makkai2001,laumann2006,armstrong2007,bone2008,kluger2018"
Past or Archaeological Culture Underrepresentation,Carthaginians,Piercing,"visona1998,batten2011,danielhughes2011"
Past or Archaeological Culture Underrepresentation,Dynastic Chinese,Piercing,xu2022
Past or Archaeological Culture Underrepresentation,Dynastic Chinese,Bone Shaping,"ko2005,gao2007,peng2013,berger2019,lee2019,zhao2020"
Past or Archaeological Culture Underrepresentation,Indo-Aryans,Piercing,"krishna2015,kolekar2017"
Past or Archaeological Culture Underrepresentation,Persians,Piercing,"goldman1991,moorey1998,fabregues2006"
Past or Archaeological Culture Underrepresentation,Scythians,Piercing,"piotrovsky1973,moonja2011,klochko2017"
Past or Archaeological Culture Underrepresentation,Scythians,Tattooing,yatsenko2010
Past or Archaeological Culture Underrepresentation,Sumerians,Piercing,"legrain1929,maxwellhyslop1960,bass1970,hauptmann2018"
Exclusion of European Colonizing Countries,Western Europe,Scarification,"constable1982,dickson1989,constable1998,vandermeersch2009,chen2025"
Exclusion of European Colonizing Countries,Western Europe,Piercing,"smith1908,dirlam1985,hughes1986,evans1989,awaisdean2012,weller2019"
Exclusion of European Colonizing Countries,Western Europe,Tattooing,"lacassagne1881,pigoriniberi1891,lombroso1897,bradley2000,caplan2000,fleming2000,maxwellstewart2000,lewy2003,angel2015,breathnach2015,ousterhout2015,beaulieu2019"
Underrepresented Geographic Region,Indigenous Australians,Genital Modification,"howitt1891,basedow1927,berndt1951,meggitt1962,spencer1966,gould1969,berndt1970"
Underrepresented Geographic Region,Indigenous Australians,Scarification,"howitt1891,parker1905,basedow1907,meggitt1962,spencer1966,gould1969,berndt1970"
Underrepresented Geographic Region,Indigenous Australians,Piercing,"parker1905,basedow1907,meggitt1962,spencer1966,gould1969,berndt1970"
Underrepresented Geographic Region,Indigenous Australians,Amputation,"basedow1907,spencer1966,mccauley2018,mccauley2026"
Underrepresented Geographic Region,Indigenous Australians,Dental Modification,"howitt1891,parker1905,gould1969"